	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
ScheduleReports,,,,,name=ScheduleReports,name=ScheduleReports,name=ScheduleReports,,,
SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce,name=SelectFilesFromSalesforce
SendSitRequests,,name=SendSitRequests,name=SendSitRequests,,name=SendSitRequests,name=SendSitRequests,name=SendSitRequests,,,
ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge,name=ShowCompanyNameAsUserBadge
SolutionImport,,name=SolutionImport,,,name=SolutionImport,name=SolutionImport,name=SolutionImport,,,
SubmitMacrosAllowed,,,name=SubmitMacrosAllowed,,name=SubmitMacrosAllowed,name=SubmitMacrosAllowed,name=SubmitMacrosAllowed,,,
SubscribeToLightningReports,,name=SubscribeToLightningReports,name=SubscribeToLightningReports,,name=SubscribeToLightningReports,name=SubscribeToLightningReports,name=SubscribeToLightningReports,,,
TagManager,,,,,name=TagManager,name=TagManager,name=TagManager,,,
TransferAnyCase,,,,,name=TransferAnyCase,name=TransferAnyCase,name=TransferAnyCase,,,
TransferAnyEntity,,,,,name=TransferAnyEntity,name=TransferAnyEntity,name=TransferAnyEntity,,,
TransferAnyLead,,,,,name=TransferAnyLead,name=TransferAnyLead,name=TransferAnyLead,,,
UpdateWithInactiveOwner,,,,,name=UpdateWithInactiveOwner,name=UpdateWithInactiveOwner,name=UpdateWithInactiveOwner,,,
UseTeamReassignWizards,,,,,name=UseTeamReassignWizards,name=UseTeamReassignWizards,name=UseTeamReassignWizards,,,
ViewAllData,,,,,,name=ViewAllData,name=ViewAllData,,,
ViewAllUsers,,,,,name=ViewAllUsers,name=ViewAllUsers,name=ViewAllUsers,name=ViewAllUsers,name=ViewAllUsers,
ViewDataCategories,,,,,,name=ViewDataCategories,name=ViewDataCategories,,,
ViewEncryptedData,,,,,name=ViewEncryptedData,,name=ViewEncryptedData,,,
ViewEventLogFiles,,,,,name=ViewEventLogFiles,name=ViewEventLogFiles,name=ViewEventLogFiles,,,
ViewGlobalHeader,,name=ViewGlobalHeader,name=ViewGlobalHeader,name=ViewGlobalHeader,name=ViewGlobalHeader,name=ViewGlobalHeader,name=ViewGlobalHeader,,,
ViewHealthCheck,,,,,,,name=ViewHealthCheck,,,
ViewHelpLink,,name=ViewHelpLink,name=ViewHelpLink,name=ViewHelpLink,name=ViewHelpLink,name=ViewHelpLink,name=ViewHelpLink,,,
ViewMyTeamsDashboards,,,,,name=ViewMyTeamsDashboards,name=ViewMyTeamsDashboards,name=ViewMyTeamsDashboards,,,
ViewPublicDashboards,,,,,name=ViewPublicDashboards,name=ViewPublicDashboards,name=ViewPublicDashboards,,,
ViewPublicReports,,,,,name=ViewPublicReports,name=ViewPublicReports,name=ViewPublicReports,,,
ViewSetup,,name=ViewSetup,name=ViewSetup,name=ViewSetup,name=ViewSetup,name=ViewSetup,name=ViewSetup,,,
