	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
Intel_Signed_Document__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Legal_Commitment_to_Opportunity_JUNC__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
NHM_Aliases__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
NHM_Available_Space__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
NHM_Building__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
NHM_Floor__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
NHM_Master__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
NWR_Assignment_Structure__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
OM_Other__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Opportunity,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
