	, www Profile.xml
BMCServiceDesk__Incident__c.BMCServiceDesk__FKRequestDefinition__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__FKRequestDetail__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__FKServiceOffering__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__FKStatus__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__FKTemplate__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__FKUrgency__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Feedback_Last_Submitted__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Feedback__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Impact_Id__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__IncidentType__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Incorrect_category__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Incorrect_owner__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Is_New_Record__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Launch_console__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__LockedRecordTimestamp__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__New_Incident__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__PreferredContactMethod__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Priority_ID__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Queue__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Reassigned_Count__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Recurrence__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__RecurringParentRecordId__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__RequestDetailCloneId__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__ServiceRequest__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Service_Request_Title__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__ShowDueDateDialog__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__StatusChangeDate__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Status_ID__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Task_Closed_Controller__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__TemplateAlreadyApplied__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__TemplateName__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__TimeSpentInCurrentStatus__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Time_Remaining_Percentage__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__TotalWorkTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Total_Duration__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Type__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__UpdateCount__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__Urgency_ID__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__VIP_Client__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__WorkflowController__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__actualDuration__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__actualOutageDuration__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__call__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__clientEmail__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__clientFirstName__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__clientId__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__clientLastName__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__closeDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__closeTasks__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__completedDate__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__contactType__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__dueDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__firstCallResolution__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__followUpDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__followUp__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__inactive__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__inc_console_detail_link__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__incidentDescription__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__incidentResolution__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__isServiceRequest__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__maximumDuration__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__note__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__openDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__outageFrom__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__outageTo__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__queueName__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__recommendedFixDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__respondedDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__responseDateTime__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__shortDescription__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__state__c,readable=false/editable=false
BMCServiceDesk__Incident__c.BMCServiceDesk__timeSpent__c,readable=false/editable=false
BMCServiceDesk__Incident__c.Client_Name_F__c,readable=false/editable=false
BMCServiceDesk__Incident__c.Client_WD_Manager__c,readable=false/editable=false
BMCServiceDesk__Incident__c.IT_Internal_Note__c,readable=false/editable=false
Booking_Package_Signatories__c.Start__c,readable=false/editable=false
Booking_Package_Signatories__c.Time_Hours__c,readable=false/editable=false
Booking_Package__c.Account_Director__c,readable=false/editable=false
Booking_Package__c.Account__c,readable=false/editable=false
Booking_Package__c.Actual_Close_Quarter__c,readable=false/editable=false
Booking_Package__c.Actual_Deal_TCV__c,readable=false/editable=false
Booking_Package__c.Actual_Quarter_Close_Date__c,readable=false/editable=false
Booking_Package__c.Actual_TCV_P_M__c,readable=false/editable=false
Booking_Package__c.Actual_TCV_USD__c,readable=false/editable=false
Booking_Package__c.Actual_Term__c,readable=false/editable=false
Booking_Package__c.Actual_Transaction_Type__c,readable=false/editable=false
Booking_Package__c.Appprval_Part_1_Completed__c,readable=false/editable=false
Booking_Package__c.Approval_Comments__c,readable=false/editable=false
Booking_Package__c.Approval_Step_Tracking__c,readable=false/editable=false
Booking_Package__c.Approved_Step_Information__c,readable=false/editable=false
Booking_Package__c.Attachment_LTR__c,readable=false/editable=false
Booking_Package__c.Booked_Date__c,readable=false/editable=false
Booking_Package__c.Booking_Approval_Step__c,readable=false/editable=false
Booking_Package__c.Booking_Package_End__c,readable=false/editable=false
Booking_Package__c.Booking_Package_Remaining_Steps__c,readable=false/editable=false
Booking_Package__c.Booking_Package_Start__c,readable=false/editable=false
Booking_Package__c.Booking_Package_Time__c,readable=false/editable=false
Booking_Package__c.CDN_Agreement2__c,readable=false/editable=false
Booking_Package__c.CDN_Agreement__c,readable=false/editable=false
Booking_Package__c.CDS_Hungary_Start__c,readable=false/editable=false
Booking_Package__c.CDS_Hungary_Time__c,readable=false/editable=false
Booking_Package__c.Canada_Legal_Start__c,readable=false/editable=false
Booking_Package__c.Canada_Legal_Time__c,readable=false/editable=false
Booking_Package__c.Channel_Partner__c,readable=false/editable=false
Booking_Package__c.Contract_End_Date__c,readable=false/editable=false
Booking_Package__c.Contract_Start_Date__c,readable=false/editable=false
Booking_Package__c.Contract_Status__c,readable=false/editable=false
Booking_Package__c.Contract_Type__c,readable=false/editable=false
Booking_Package__c.Contract_WBS__c,readable=false/editable=false
Booking_Package__c.Contract__c,readable=false/editable=false
Booking_Package__c.Credit_RA_Start__c,readable=false/editable=false
Booking_Package__c.Credit_RA_Time__c,readable=false/editable=false
Booking_Package__c.Credit_Start__c,readable=false/editable=false
Booking_Package__c.Credit_Time__c,readable=false/editable=false
Booking_Package__c.Customer_Execution_Date__c,readable=false/editable=false
Booking_Package__c.Date_Order_Released__c,readable=false/editable=false
Booking_Package__c.Deal_Approval_Status__c,readable=false/editable=false
Booking_Package__c.Deal_Approval_Time__c,readable=false/editable=false
Booking_Package__c.Dublin_OM_Start__c,readable=false/editable=false
Booking_Package__c.Dublin_OM_Time__c,readable=false/editable=false
Booking_Package__c.Edit_Booking_Package__c,readable=false/editable=false
Booking_Package__c.Entry_CDN_Agreement__c,readable=false/editable=false
Booking_Package__c.Exclude_Shipped_Flag__c,readable=false/editable=false
Booking_Package__c.Expected_Close_Quarter__c,readable=false/editable=false
Booking_Package__c.Expedite_Booking_Package__c,readable=false/editable=false
Booking_Package__c.Expedite_Comments_Text__c,readable=false/editable=false
Booking_Package__c.Expedite_Comments__c,readable=false/editable=false
Booking_Package__c.Expedite_Prov_Request__c,readable=false/editable=false
Booking_Package__c.Expedite_Text__c,readable=false/editable=false
Booking_Package__c.Expedited_Date__c,readable=false/editable=false
Booking_Package__c.Fast_Track_Approved__c,readable=false/editable=false
Booking_Package__c.Field_Admin_Start__c,readable=false/editable=false
Booking_Package__c.Field_Admin_Time__c,readable=false/editable=false
Booking_Package__c.Flow_Type__c,readable=false/editable=false
Booking_Package__c.IP_Access_Selection_sent_to_OM_NA__c,readable=false/editable=false
Booking_Package__c.Invoice_Number_AP__c,readable=false/editable=false
Booking_Package__c.Ireland_Legal_Start__c,readable=false/editable=false
Booking_Package__c.Ireland_Legal_Time__c,readable=false/editable=false
Booking_Package__c.Kanji_Notes__c,readable=false/editable=false
Booking_Package__c.Legal_1_Start__c,readable=false/editable=false
Booking_Package__c.Legal_1_Time__c,readable=false/editable=false
Booking_Package__c.Legal_2_Start__c,readable=false/editable=false
Booking_Package__c.Legal_2_Time__c,readable=false/editable=false
Booking_Package__c.Legal_3_Start__c,readable=false/editable=false
Booking_Package__c.Legal_3_Time__c,readable=false/editable=false
Booking_Package__c.Legal_4_Start__c,readable=false/editable=false
Booking_Package__c.Legal_4_Time__c,readable=false/editable=false
Booking_Package__c.Legal_Review_Start__c,readable=false/editable=false
Booking_Package__c.Legal_Review_Time__c,readable=false/editable=false
Booking_Package__c.Legal_review__c,readable=false/editable=false
Booking_Package__c.Maint1__c,readable=false/editable=false
Booking_Package__c.Maint_TCV__c,readable=false/editable=false
Booking_Package__c.Maint__c,readable=false/editable=false
Booking_Package__c.NET_Trans__c,readable=false/editable=false
Booking_Package__c.Needs_Legal__c,readable=false/editable=false
Booking_Package__c.New_Customer__c,readable=false/editable=false
Booking_Package__c.Non_Standard_Payment_Term__c,readable=false/editable=false
Booking_Package__c.Notes__c,readable=false/editable=false
Booking_Package__c.Number_of_Days__c,readable=false/editable=false
Booking_Package__c.OM_Booking_Start__c,readable=false/editable=false
Booking_Package__c.OM_Booking_Time__c,readable=false/editable=false
Booking_Package__c.OM_Sign_Start__c,readable=false/editable=false
Booking_Package__c.OM_Sign_Time__c,readable=false/editable=false
Booking_Package__c.Opportunity_AutoNumber__c,readable=false/editable=false
Booking_Package__c.Opportunity_ID__c,readable=false/editable=false
Booking_Package__c.Opportunity__c,readable=false/editable=false
Booking_Package__c.Order_Management_Start__c,readable=false/editable=false
Booking_Package__c.Order_Management_Time__c,readable=false/editable=false
Booking_Package__c.Owner_Id__c,readable=false/editable=false
Booking_Package__c.PIA_Orders__c,readable=false/editable=false
Booking_Package__c.Parent_Account__c,readable=false/editable=false
Booking_Package__c.Payment_Terms__c,readable=false/editable=false
Booking_Package__c.Product1__c,readable=false/editable=false
Booking_Package__c.Product__c,readable=false/editable=false
Booking_Package__c.Proposed_End_Date__c,readable=false/editable=false
Booking_Package__c.Proposed_Start_Date__c,readable=false/editable=false
Booking_Package__c.Purchase_Order_Number__c,readable=false/editable=false
Booking_Package__c.Reason_for_Request__c,readable=false/editable=false
Booking_Package__c.Rec_Risk_Rating__c,readable=false/editable=false
Booking_Package__c.Region__c,readable=false/editable=false
Booking_Package__c.Revenue_Accounting_Start__c,readable=false/editable=false
Booking_Package__c.Revenue_Accounting_Time__c,readable=false/editable=false
Booking_Package__c.Row_Id__c,readable=false/editable=false
Booking_Package__c.SAM_Technologies__c,readable=false/editable=false
Booking_Package__c.SAP__c,readable=false/editable=false
Booking_Package__c.Sales_Finance_Start__c,readable=false/editable=false
Booking_Package__c.Sales_Finance_Time__c,readable=false/editable=false
Booking_Package__c.Sales_Operations_Start__c,readable=false/editable=false
Booking_Package__c.Sales_Operations_Time__c,readable=false/editable=false
Booking_Package__c.San_Jose_Rev_Acct_Start__c,readable=false/editable=false
Booking_Package__c.San_Jose_Rev_Acct_Time__c,readable=false/editable=false
Booking_Package__c.Sandy_Rev_Acct_Start__c,readable=false/editable=false
Booking_Package__c.Sandy_Rev_Acct_Time__c,readable=false/editable=false
Booking_Package__c.Send_to_Legal_Values__c,readable=false/editable=false
Booking_Package__c.Send_to_Legal__c,readable=false/editable=false
Booking_Package__c.Services__c,readable=false/editable=false
Booking_Package__c.Shipped_Date__c,readable=false/editable=false
Booking_Package__c.Signatories__c,readable=false/editable=false
Booking_Package__c.Signatory_Start__c,readable=false/editable=false
Booking_Package__c.Signatory_Total_Time__c,readable=false/editable=false
Booking_Package__c.Status__c,readable=false/editable=false
Booking_Package__c.Ts_Cs__c,readable=false/editable=false
Booking_Package__c.Type__c,readable=false/editable=false
Booking_Package__c.US_Legal_Start__c,readable=false/editable=false
Booking_Package__c.US_Legal_Time__c,readable=false/editable=false
Booking_Package__c.date_posted__c,readable=false/editable=false
Booking_Package__c.isMigrated_Record__c,readable=false/editable=false
CCP_Assignment__c.CCP_Manager__c,readable=false/editable=false
CCP_Assignment__c.Channel_Type__c,readable=false/editable=false
CCP_Assignment__c.City__c,readable=false/editable=false
CCP_Assignment__c.Country__c,readable=false/editable=false
CCP_Assignment__c.Partner__c,readable=false/editable=false
CCP_Assignment__c.Primary_Partner__c,readable=false/editable=false
CCP_Assignment__c.Upsert_Key__c,readable=false/editable=false
CCP_Assignment__c.VAR_Email__c,readable=false/editable=false
CCR__c.Action_Release__c,readable=false/editable=false
CCR__c.Build_ID__c,readable=false/editable=false
CCR__c.CCListAll__c,readable=false/editable=false
CCR__c.CCMS_Account_Name__c,readable=false/editable=false
CCR__c.CCMS_Contact_Email__c,readable=false/editable=false
CCR__c.CCMS_Contact_Name__c,readable=false/editable=false
CCR__c.CCMS_Contact_Phone__c,readable=false/editable=false
CCR__c.CCMS_Contact_Site__c,readable=false/editable=false
CCR__c.CCMS_Crash__c,readable=false/editable=false
CCR__c.CCMS_Create_Date__c,readable=false/editable=false
CCR__c.CCMS_DBID__c,readable=false/editable=false
CCR__c.CCMS_Family_Name__c,readable=false/editable=false
CCR__c.CCMS_Family__c,readable=true/editable=true
CCR__c.CCMS_Id__c,readable=false/editable=false
CCR__c.CCMS_Need_Releases_Name__c,readable=false/editable=false
CCR__c.CCMS_Need_Releases__c,readable=false/editable=false
CCR__c.CCMS_OS_Name__c,readable=false/editable=false
CCR__c.CCMS_OS_Versions_Name__c,readable=false/editable=false
CCR__c.CCMS_OS_Versions__c,readable=false/editable=false
CCR__c.CCMS_OS__c,readable=false/editable=false
CCR__c.CCMS_ProdLevel2_Name__c,readable=false/editable=false
CCR__c.CCMS_ProdLevel2__c,readable=false/editable=false
CCR__c.CCMS_Product_Name__c,readable=false/editable=false
CCR__c.CCMS_Product__c,readable=false/editable=false
CCR__c.CCMS_Requestor_Name__c,readable=false/editable=false
CCR__c.CCMS_Version_Name__c,readable=false/editable=false
CCR__c.CCMS_Version__c,readable=false/editable=false
CCR__c.CCMS__c,readable=false/editable=false
CCR__c.CCRPrint__c,readable=false/editable=false
CCR__c.CCR_Notes__c,readable=false/editable=false
CCR__c.CCR_Number__c,readable=false/editable=false
CCR__c.CDSinfo__c,readable=false/editable=false
CCR__c.COS_OS_Name__c,readable=false/editable=false
CCR__c.CRM__c,readable=false/editable=false
CCR__c.CS_Engineer__c,readable=false/editable=false
CCR__c.Case__c,readable=false/editable=false
CCR__c.Close_Date__c,readable=false/editable=false
CCR__c.Contact_Email__c,readable=false/editable=false
CCR__c.Contact_Name__c,readable=false/editable=false
CCR__c.Contact_Phone__c,readable=false/editable=false
CCR__c.Contact_Site__c,readable=false/editable=false
CCR__c.Crash__c,readable=false/editable=false
CCR__c.Create_Date_Do_Not_Use__c,readable=false/editable=false
CCR__c.Cust_Project__c,readable=false/editable=false
CCR__c.Customer_Reference__c,readable=false/editable=false
CCR__c.Date_Opened__c,readable=false/editable=false
CCR__c.Description__c,readable=false/editable=false
CCR__c.Edit_CCR__c,readable=false/editable=false
CCR__c.Engagement_Type__c,readable=false/editable=false
CCR__c.Engineering_HotFix_Date__c,readable=false/editable=false
CCR__c.External_ID__c,readable=false/editable=false
CCR__c.IT_Ticket__c,readable=false/editable=false
CCR__c.Inactive_Date__c,readable=false/editable=false
CCR__c.Integration__c,readable=false/editable=false
CCR__c.Keywords__c,readable=false/editable=false
CCR__c.Last_Modified_Date_DO_NOT_USE__c,readable=false/editable=false
CCR__c.Last_Update__c,readable=false/editable=false
CCR__c.Manager__c,readable=false/editable=false
CCR__c.Marketing_Manager__c,readable=false/editable=false
CCR__c.Master_PCR__c,readable=false/editable=false
CCR__c.Modification_Date__c,readable=false/editable=false
CCR__c.More_Info_Date__c,readable=false/editable=false
CCR__c.Need_By_Release__c,readable=false/editable=false
CCR__c.Need_By__c,readable=false/editable=false
CCR__c.Open_Date__c,readable=false/editable=false
CCR__c.Original_CDS_Severity_Date__c,readable=false/editable=false
CCR__c.Original_Family_Name__c,readable=false/editable=false
CCR__c.Original_Product_Level2_Name__c,readable=false/editable=false
CCR__c.Original_Product_Name__c,readable=false/editable=false
CCR__c.Original_Submit_Date__c,readable=false/editable=false
CCR__c.PCR_Number__c,readable=false/editable=false
CCR__c.Parent_Account__c,readable=false/editable=false
CCR__c.Plan_Date__c,readable=false/editable=false
CCR__c.Planned_Release__c,readable=false/editable=false
CCR__c.Preview__c,readable=false/editable=false
CCR__c.Priority__c,readable=false/editable=false
CCR__c.Proposed_Release__c,readable=false/editable=false
CCR__c.R_D_Priority__c,readable=false/editable=false
CCR__c.Regression__c,readable=false/editable=false
CCR__c.Release_Date__c,readable=false/editable=false
CCR__c.RepSeverity__c,readable=false/editable=false
CCR__c.Rep_Request_Type__c,readable=false/editable=false
CCR__c.Request_Type__c,readable=false/editable=false
CCR__c.Requester__c,readable=false/editable=false
CCR__c.Requestor_Urgency__c,readable=false/editable=false
CCR__c.Resubmit__c,readable=false/editable=false
CCR__c.Row_Id_Transition__c,readable=false/editable=false
CCR__c.Row_Id__c,readable=false/editable=false
CCR__c.Secure_Storage_Type__c,readable=false/editable=false
CCR__c.Security_Label__c,readable=false/editable=false
CCR__c.Severity__c,readable=false/editable=false
CCR__c.State__c,readable=false/editable=false
CCR__c.Title__c,readable=false/editable=false
CCR__c.Trunc_CCR_ID__c,readable=false/editable=false
CCR__c.Unlink__c,readable=false/editable=false
CCR__c.Urgency__c,readable=false/editable=false
CCR__c.cdsPriority_Date__c,readable=false/editable=false
CCR__c.isMigrated_Record__c,readable=false/editable=false
COS_Case_Group__c.CC_Emails__c,readable=false/editable=false
COS_Case_Group__c.CaseGroupNameAccountName__c,readable=false/editable=false
COS_Case_Group__c.Description__c,readable=false/editable=false
COS_Case_Group__c.Inactived_Date__c,readable=false/editable=false
COS_Case_Group__c.Owner_Full_Name__c,readable=false/editable=false
COS_Case_Group__c.Status__c,readable=false/editable=false
Case.AEContactFullName__c,readable=false/editable=false
Case.AE_Backup_Email__c,readable=false/editable=false
Case.AE_Backup__c,readable=false/editable=false
Case.AE_Contact_Email__c,readable=false/editable=false
Case.AE_Contact_Phone_Number__c,readable=false/editable=false
Case.AE_Contact__c,readable=false/editable=false
Case.AM_Scores__c,readable=false/editable=false
Case.AccountId,readable=true/editable=false
Case.Account_Name__c,readable=false/editable=false
Case.Account_Type__c,readable=false/editable=false
Case.Add_Manager__c,readable=false/editable=false
Case.Advanced_Support_All_Products__c,readable=false/editable=false
Case.Advanced_Support_CSC_Name__c,readable=false/editable=false
Case.Advanced_Support_CSC__c,readable=false/editable=false
Case.Advanced_Support_ChatterGroup__c,readable=false/editable=false
Case.Advanced_Support_Flag1__c,readable=false/editable=false
Case.Advanced_Support_Group_ID__c,readable=false/editable=false
Case.Advanced_Support_Group_Name__c,readable=false/editable=false
Case.Advanced_Support_Queue__c,readable=false/editable=false
Case.Alt_Case_Num_Transition__c,readable=false/editable=false
Case.Alt_Case_Num__c,readable=false/editable=false
Case.AppNote__c,readable=false/editable=false
Case.Article_CheckBox__c,readable=false/editable=false
Case.Article__c,readable=false/editable=false
Case.AssetId,readable=false/editable=false
Case.Assign_using_active_assignment_rules__c,readable=false/editable=false
Case.Assigned_Date__c,readable=false/editable=false
Case.Assignment_Made__c,readable=false/editable=false
Case.Assignment_Reason__c,readable=false/editable=false
Case.Assignment_Status__c,readable=false/editable=false
Case.Attach_Config_File_To_Installed_Product__c,readable=false/editable=false
Case.Auto_Close_Date__c,readable=false/editable=false
Case.Auto_Close_Days_From_Notification__c,readable=false/editable=false
Case.Auto_Close_Days_From_Wait_Cust__c,readable=false/editable=false
Case.Auto_Close_Days__c,readable=false/editable=false
Case.Auto_Close_Notification_Sent__c,readable=false/editable=false
Case.Auto_Close_Validation_Failed__c,readable=false/editable=false
Case.Auto_Close_Validation_Failure_Date__c,readable=false/editable=false
Case.Auto_Complete_Date__c,readable=false/editable=false
Case.Auto_Complete_Days_From_Notification__c,readable=false/editable=false
Case.Auto_Complete_Days__c,readable=false/editable=false
Case.Auto_Complete_Notification_Days__c,readable=false/editable=false
Case.Auto_Complete_Transition__c,readable=false/editable=false
Case.Auto_Notification_Date_DIP__c,readable=false/editable=false
Case.Auto_Notification_Date_TIP__c,readable=false/editable=false
Case.Auto_Notification_Date_VIP__c,readable=false/editable=false
Case.BU_Summary_Attribute__c,readable=false/editable=false
Case.Brief__c,readable=false/editable=false
Case.BusinessHoursId,readable=false/editable=false
Case.By_Pass_Validation__c,readable=false/editable=false
Case.CCR_All_State__c,readable=false/editable=false
Case.CCR_Id_For_Template__c,readable=false/editable=false
Case.CCR_SMAX__c,readable=false/editable=false
Case.CCR_State__c,readable=false/editable=false
Case.CCR__c,readable=false/editable=false
Case.CC_Emails__c,readable=false/editable=false
Case.CDN_Last_Modified_By__c,readable=false/editable=false
Case.CDN_Last_Modified_Date__c,readable=false/editable=false
Case.CDN_Last_Modified_Only_Date__c,readable=false/editable=false
Case.COS_Notify_CC_Emails__c,readable=false/editable=false
Case.COS_Visibility__c,readable=false/editable=false
Case.CaseMileStoneFired__c,readable=false/editable=false
Case.Case_Age__c,readable=false/editable=false
Case.Case_City__c,readable=false/editable=false
Case.Case_Color_DIP__c,readable=false/editable=false
Case.Case_Color_Default__c,readable=false/editable=false
Case.Case_Color_VIP__c,readable=false/editable=false
Case.Case_Country__c,readable=false/editable=false
Case.Case_Note_Update_Date__c,readable=false/editable=false
Case.Case_Resolution_Days__c,readable=false/editable=false
Case.Case_State__c,readable=false/editable=false
Case.Case_Street__c,readable=false/editable=false
Case.Case_Summary_2__c,readable=false/editable=false
Case.Case_Summary__c,readable=false/editable=false
Case.Case_Transfer_Date__c,readable=false/editable=false
Case.Case_Type__c,readable=false/editable=false
Case.Case_Zip__c,readable=false/editable=false
Case.Child_Case_Numbers__c,readable=false/editable=false
Case.Close_all_children__c,readable=false/editable=false
Case.ClosedDate,readable=true/editable=false
Case.ClosedOnCreate,readable=false/editable=false
Case.Closed_Class__c,readable=false/editable=false
Case.Completed_Date__c,readable=false/editable=false
Case.ContactFullName__c,readable=false/editable=false
Case.ContactId,readable=true/editable=true
Case.Contact_DBE_Flag_Formula__c,readable=false/editable=false
Case.Contact_DBE_Flag__c,readable=false/editable=false
Case.Contact_Email_ETB__c,readable=false/editable=false
Case.Contact_Email__c,readable=false/editable=false
Case.Contact_Employee_Flag__c,readable=false/editable=false
Case.Contact_FullName_ETB__c,readable=false/editable=false
Case.Contact_Geography__c,readable=false/editable=false
Case.Contact_Name__c,readable=false/editable=false
Case.Contact_Support_Level__c,readable=false/editable=false
Case.Create_Date_DO_NOT_USE__c,readable=false/editable=false
Case.Created_CST_Hours__c,readable=false/editable=false
Case.Created_Hours__c,readable=false/editable=false
Case.Customer_Priority__c,readable=false/editable=false
Case.Customer_Project_Transition__c,readable=false/editable=false
Case.Customer_Project__c,readable=false/editable=false
Case.Customer_emoticon__c,readable=false/editable=false
Case.Customer_emoticon_value__c,readable=false/editable=false
Case.DIP_Delivery_Package__c,readable=false/editable=false
Case.Databahn_Project_Expiry_Date__c,readable=false/editable=false
Case.Databahn_Project__c,readable=false/editable=false
Case.Delay_Assignment_Date__c,readable=false/editable=false
Case.Delay_Created_Date__c,readable=false/editable=false
Case.Delay_Notifier_Trigger_Time__c,readable=false/editable=false
Case.Delay_Notifier_Type__c,readable=false/editable=false
Case.Deleted_Attachments__c,readable=false/editable=false
Case.Description,readable=true/editable=true
Case.Description__c,readable=false/editable=false
Case.Detailed_Work_Performed__c,readable=false/editable=false
Case.Do_not_forward_attachment__c,readable=false/editable=false
Case.E2E__c,readable=false/editable=false
Case.Email_1__c,readable=false/editable=false
Case.Email_2__c,readable=false/editable=false
Case.Email_3__c,readable=false/editable=false
Case.Email_4__c,readable=false/editable=false
Case.Email_5__c,readable=false/editable=false
Case.Email_to_Child_Case_Info__c,readable=false/editable=false
Case.Enable_TB_Notifications__c,readable=false/editable=false
Case.EngineeringReqNumber__c,readable=false/editable=false
Case.Engineering_Owner__c,readable=false/editable=false
Case.Enterprise_Project_Name__c,readable=false/editable=false
Case.EntitlementId,readable=false/editable=false
Case.Entitlement_Status__c,readable=false/editable=false
Case.Escalation_Reason__c,readable=false/editable=false
Case.Expected_Arrival__c,readable=false/editable=false
Case.Expired_Closed_Case_Clone__c,readable=false/editable=false
Case.External_ID__c,readable=false/editable=false
Case.FAE__c,readable=false/editable=false
Case.FSR_Status__c,readable=false/editable=false
Case.Failure_Code_Second_Level__c,readable=false/editable=false
Case.Failure_Code_Third_Level__c,readable=false/editable=false
Case.Failure_Code__c,readable=false/editable=false
Case.First_Contact__c,readable=false/editable=false
Case.GS_Owner_Name__c,readable=false/editable=false
Case.HFE_Resolution__c,readable=false/editable=false
Case.Hidden_Owner__c,readable=false/editable=false
Case.Historical_Last_Modified_By__c,readable=false/editable=false
Case.Historical_Last_Modified_Date__c,readable=false/editable=false
Case.Host_Name__c,readable=false/editable=false
Case.IPGExceptionNotes__c,readable=false/editable=false
Case.Incoming_Email__c,readable=false/editable=false
